Serial Number,Deposits 2016
943,46028
1465,46271
913,46289
545,46326
765,46483
581,46610
353,46657
1398,46821
1467,46888
654,46912
1058,46968
1515,47037
1002,47161
1348,47312
688,47329
1526,47337
675,47363
905,47550
1519,47557
945,47558
1054,47683
671,47690
436,48095
142,48097
1577,48163
1534,48177
278,48724
169,48773
567,48896
589,48993
1503,49135
495,49210
750,49293
632,49308
1600,49373
1300,49408
1615,49445
949,49602
42,49787
620,49848
701,49992
755,50059
293,50189
758,50231
655,50238
1557,50249
532,50275
1544,50384
1536,50422
1578,50509
1007,50690
792,50779
717,50796
982,50835
355,50933
1456,50936
1325,50942
1013,51001
1581,51102
672,51141
1252,51170
928,51399
683,51428
663,51446
1553,51521
1218,51549
1521,51553
664,51657
779,51659
1086,51711
1067,51851
937,51869
633,51935
565,52021
492,52122
665,52136
1507,52161
588,52286
1204,52359
598,52388
1157,52474
1389,52568
1220,52588
723,52594
1386,52700
677,52728
1009,52815
1342,52846
818,52900
914,53194
1604,53239
800,53369
465,53416
7,53490
302,53544
50,53706
1491,53743
624,53960
961,54027
619,54036
122,54150
29,54187
1561,54205
724,54213
964,54282
936,54292
539,54471
1496,54479
784,54507
1594,54523
774,54556
1479,54632
903,54732
879,54737
786,54740
610,54741
927,54751
799,54927
1202,54965
920,55042
1478,55191
709,55298
980,55472
827,55487
1531,55600
1263,55680
1522,55791
1135,56067
1516,56105
544,56298
662,56772
993,56803
116,57189
958,57194
1027,57205
1136,57273
972,57391
1078,57485
789,57500
1292,57628
769,57636
623,57649
1612,57769
1440,57960
1162,57963
710,57999
552,58028
1383,58038
1129,58090
703,58124
1489,58132
563,58456
1395,58499
652,58588
726,58623
290,58676
1291,58717
1568,58793
691,58881
1245,58925
756,58966
286,59043
1574,59345
1552,59408
470,59451
614,59793
998,59798
1493,59862
503,59888
557,59930
273,60068
1506,60107
591,60161
288,60182
533,60283
637,60429
954,60527
482,60677
475,60753
950,60843
968,60924
151,60935
770,61082
174,61096
1249,61154
197,61428
1329,61578
1580,61587
1016,61761
1271,61815
1332,61825
1036,61878
602,61881
768,62158
1378,62317
626,62340
628,62356
697,62686
1099,62727
1155,62751
1388,62832
1156,63016
1283,63243
1602,63261
1089,63355
574,63455
1250,63482
480,63520
1237,63668
1508,63701
966,63726
979,64062
570,64354
317,64405
708,64523
1419,64542
607,64661
1293,64837
1072,64951
283,65049
797,65323
304,65348
1184,65456
803,65632
1510,65689
1071,66003
829,66221
1573,66280
612,66350
1147,66429
530,66438
757,66463
603,66523
994,66599
309,66778
1186,67070
906,67080
810,67181
292,67307
1576,67407
1049,67508
287,67526
1268,67608
1170,67636
813,67715
657,67741
1495,67815
1003,67846
1559,67921
992,68037
583,68115
1417,68120
668,68168
143,68226
1396,68636
1154,68656
279,69073
1163,69109
940,69225
571,69316
1276,69369
785,69418
1187,69596
1381,69995
1306,70083
484,70121
582,70144
1020,70206
1497,70475
1382,70753
1044,70788
361,70866
1105,71106
171,71220
558,71264
1589,71629
1532,71822
1435,72463
629,72678
485,72900
926,72910
700,73044
875,73331
960,73436
16,73452
114,73571
1344,73618
1023,73686
1279,73749
742,73803
1457,73803
150,73837
1462,73914
1055,73970
1240,73977
322,74007
297,74055
345,74065
781,74261
1113,74350
1273,74437
540,74513
1116,74725
1319,74738
1376,74767
735,74931
836,74951
754,75018
1068,75397
501,75529
1477,75534
1106,75757
1404,76257
1579,76360
646,76533
1543,76902
931,77053
473,77057
1481,77497
1229,77946
1034,77999
1621,78166
1606,78278
1488,78583
1221,78586
1232,78751
987,78794
601,78947
625,79259
586,79283
1264,79384
1278,79407
1134,79476
825,79571
1272,79655
111,79749
698,80002
542,80306
1451,80479
331,80490
1425,80543
282,80600
798,80669
491,80682
680,81044
8,81130
1256,81137
9,81236
325,81270
524,81322
1387,81345
340,81370
422,81421
510,81560
605,81620
452,81854
965,81875
1159,81896
117,81936
128,82047
673,82052
1146,82092
248,82220
1308,82438
1448,82491
1582,82581
594,82769
1289,83367
464,83470
561,83490
1474,83776
1330,83929
1599,83929
622,83930
323,84176
616,84238
1548,84591
307,84672
1379,84808
947,84877
1290,85439
592,85486
1085,85538
1180,85544
1182,85576
1513,85947
1527,86013
596,86022
443,86066
1336,86171
650,86215
1235,86408
1444,86548
1038,86587
538,86761
196,86940
1620,87370
996,87556
1343,87746
747,87818
997,87838
1442,87925
319,88186
1406,88264
1208,88447
963,88693
660,88970
856,88991
896,89002
310,89245
313,89631
1486,89818
910,89903
270,0
308,0
333,0
367,0
368,0
369,0
370,0
371,0
373,0
374,0
375,0
376,0
377,0
378,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
393,0
396,0
398,0
404,0
406,0
408,0
433,0
438,0
449,0
453,0
457,0
461,0
466,0
468,0
472,0
476,0
481,0
504,0
517,0
518,0
520,0
575,0
576,0
579,0
728,0
734,0
738,0
777,0
793,0
796,0
804,0
807,0
816,0
817,0
847,0
849,0
861,0
890,0
933,0
951,0
983,0
1011,0
1039,0
1075,0
1081,0
1083,0
1096,0
1097,0
1100,0
1109,0
1115,0
1118,0
1191,0
1195,0
1196,0
1198,0
1284,0
1364,0
1407,0
1499,0
1512,0
1523,0
1524,0
1546,0
1584,0
1591,0
1616,0
264,126
720,2161
1217,2627
372,3515
897,3842
613,4327
295,6592
560,7900
1369,8864
1019,9227
659,9409
1056,11670
1357,11949
1362,11972
1210,12193
1349,12268
1421,12507
1370,12530
1010,12782
679,13019
939,13085
1361,13460
746,13583
1358,14216
678,14315
1059,14390
379,14452
1354,14477
1355,14659
1206,14733
1151,14900
1214,15624
1045,15742
975,16354
1413,16439
519,16530
766,17002
577,17186
1556,17206
1353,17214
1164,17323
718,17668
1360,18086
739,18211
1414,18385
716,18440
314,18469
959,18501
1053,18581
515,18929
525,18997
948,19012
1150,19097
794,19131
802,19250
597,19391
1005,19682
910,89903
1158,90557
1233,90571
585,90786
1008,90896
1485,91057
1480,91319
991,91338
1277,91455
1087,91645
508,91780
1266,91888
54,91895
929,92135
187,92232
1181,92284
1377,92347
89,92668
775,92765
212,92815
226,93097
1152,93097
1317,93205
350,93245
1028,93514
281,93768
551,94173
1209,94283
447,94489
1609,94512
1211,94521
885,94612
783,94623
1426,94853
838,94879
1619,95172
1225,96020
490,96331
1454,96369
1517,96474
642,96618
599,96626
1482,96784
638,96992
883,97127
1394,97232
1203,97406
46,97431
1484,97485
261,97616
127,97838
1490,97992
1476,97999
1079,98248
1380,98332
359,98511
904,98662
130,98677
1338,99123
1050,99186
1567,99220
1400,99884
1285,99938
915,100006
1223,100115
1066,100340
1530,100356
1130,100521
1318,100691
1449,101090
1176,101283
243,101675
94,101796
6,101828
1618,101836
1320,102181
100,102348
600,102543
863,103045
907,103045
1133,103137
1468,103426
1259,103523
1122,103692
456,103785
604,103857
1403,103861
1024,104025
1470,104087
922,104784
1537,104812
330,104920
1132,104994
357,105059
1498,105265
1295,105543
555,105969
321,106262
1309,106322
424,106814
1241,106897
446,107678
299,107847
908,107966
1138,107986
1436,108060
899,108110
1031,108404
284,108421
62,108825
656,108866
842,109015
876,109063
1120,109097
1243,109321
1402,109528
479,109585
593,109659
1174,109677
1422,109764
1432,109891
995,110931
1215,110964
1311,110993
685,111123
1175,111415
149,111489
289,111558
1092,111996
487,112128
409,112240
486,112581
1219,112745
192,112762
220,112977
1502,113027
868,113209
1253,113227
3,113293
1282,113778
1434,113875
776,114063
752,114086
105,114197
1205,114272
1199,114900
1446,114912
173,114920
1305,115121
1040,115234
839,115282
1339,115401
1093,115444
967,115580
1331,115887
1119,116004
454,116306
1098,116426
512,116450
1459,116502
1126,116533
1141,116657
69,116723
1327,117057
826,117256
1299,117304
1298,117389
1303,117401
1006,117408
19,117448
1021,117448
72,117718
1171,117894
1583,117933
1025,117992
131,118058
1473,118217
104,118402
1445,118516
126,118753
70,118769
477,118830
118,118963
175,119172
887,119316
258,119323
1061,119346
356,119389
1366,119400
1101,119406
1169,119860
1501,120338
1145,120345
1312,120553
210,120570
719,120603
217,121268
1335,121304
1261,121313
74,121462
1429,122143
1091,122584
1525,122757
1255,123014
1427,123340
787,123400
137,123640
1137,123743
246,124359
1441,124498
1328,124782
1472,124925
462,125029
1275,125134
837,125243
767,125549
115,126090
1166,126410
1399,126466
1397,126537
120,126752
177,126816
531,126854
320,126908
489,127000
76,127146
328,127238
343,128401
1183,128548
1302,128629
232,128697
274,128704
440,128800
349,128824
467,129076
68,129180
1352,129297
305,129308
469,129337
140,129594
559,129598
1301,129934
183,129967
1254,130036
432,130059
1139,130169
12,130203
221,130296
1280,130330
1453,130647
327,131468
1244,131491
170,131603
1168,131611
1281,131750
318,132020
499,132092
1095,132447
1033,132727
93,132875
1437,133135
157,133340
1015,133383
1124,133389
236,133453
1374,133640
1326,134022
1161,134385
263,134852
342,135214
924,135331
165,135771
1110,135797
507,136274
1368,136375
463,136639
1375,136914
878,136916
1144,136929
1190,137233
488,137718
219,137952
1323,137991
458,137992
1012,138006
230,138112
1035,138177
233,138322
66,138433
1228,138916
1216,139136
257,139425
1128,139544
1030,139556
1257,140386
301,140527
1112,140602
852,141299
79,141341
1082,141367
535,142213
522,142232
1487,142595
110,143137
1160,143285
1014,143428
957,143631
1224,143811
1483,144255
1613,144304
80,144838
335,145375
1032,145410
119,146115
745,146314
103,146435
87,146657
5,146807
97,146833
1321,147083
190,147101
186,147269
57,147414
1307,147722
1341,147872
240,147949
851,148229
247,148356
161,148897
1247,149203
1430,149289
772,149302
222,149394
1475,149645
534,149767
795,150176
417,150685
1297,150847
158,150951
549,151019
1439,151054
1107,151255
1173,151456
1294,151697
1598,152188
635,152436
271,152618
1236,152683
1265,152993
1460,153012
1140,153041
1505,153412
502,153619
255,153660
478,154118
241,155135
338,155181
1372,155882
916,155889
1458,156035
1084,156345
285,156554
146,157259
90,157508
109,157624
132,157648
1365,157852
1492,158308
1197,158462
578,158706
159,158756
253,159122
918,159173
580,160269
11,160532
1143,160632
224,160967
445,160974
867,160980
112,161431
1287,161721
1337,161771
925,161964
1310,162576
1029,162716
1405,163378
1461,163650
1077,163805
129,163925
828,164291
1313,164368
498,164384
435,164703
60,164982
880,165730
1188,166221
341,166332
211,166344
1304,167218
102,167234
553,167446
546,167604
266,167800
1424,167802
191,168283
260,168528
893,168602
1601,169180
930,169297
254,169481
401,169728
238,170282
1571,170294
1267,170983
891,172959
237,173063
413,173145
1288,173609
1447,173650
324,174334
1455,175192
543,175258
865,175514
351,175844
1346,176051
82,176077
1108,176089
348,176165
437,176406
358,176448
13,176826
1104,177004
431,177132
421,177788
459,177813
554,177867
773,178096
425,178585
901,178926
216,179281
362,179710
1428,180138
1200,180598
214,181008
346,181541
1192,181890
55,182192
1431,183308
172,183702
941,183750
63,183784
1022,183878
1286,183959
1179,183968
77,185839
1590,185909
823,186175
364,186310
184,187019
259,188223
249,188375
416,189755
1315,190225
1471,190314
527,190632
434,190868
430,191461
778,191803
415,192201
1239,192261
529,192714
397,192971
133,193034
428,193351
418,193421
1207,193705
859,193789
403,193828
1605,193968
1193,194634
1347,194730
59,194782
1185,195647
1090,195798
156,196364
857,196702
1222,197329
121,197396
815,198063
113,198227
1017,198594
1270,199046
970,199072
528,199914
354,200012
1392,200375
1514,200587
780,201398
1114,201899
227,201952
326,202194
181,202217
163,202224
162,202243
75,202481
573,203172
1324,203305
830,203922
15,204129
898,204532
180,204978
500,205160
892,205429
1230,205496
213,205845
1438,205968
474,206076
884,206219
84,206482
134,206525
639,206842
311,206862
47,207047
845,207313
1258,207503
831,209027
218,210840
1242,210870
167,210875
833,211039
334,211150
882,211188
441,211826
99,211864
179,212100
228,213215
455,213253
252,213272
895,213792
4,213912
494,213965
312,214225
1423,215389
1172,216947
521,218023
49,218238
347,219801
178,220086
51,221844
1178,221963
160,222081
1194,222354
426,222504
52,222999
1500,223215
1037,223365
881,223373
1450,224072
185,224327
251,224498
1127,224522
419,224815
1345,225307
1142,225925
866,226368
200,226553
513,227434
144,228469
1340,228798
188,228800
244,229478
101,229582
78,230071
28,230377
223,231241
268,231311
451,232019
1102,232079
1026,232425
98,232674
194,232845
873,234081
1463,234155
363,234700
1469,235150
96,235159
40,236073
932,236096
1248,236199
135,236667
1504,236861
30,237444
824,237756
506,239275
1251,241085
41,241197
262,241466
832,242379
1103,245578
48,246380
1314,247185
460,247386
509,248645
1322,248918
242,249490
2,249968
1231,250702
402,250726
141,251311
471,251883
1125,253664
250,253945
152,254855
269,255589
86,255609
1603,255845
352,256130
315,256168
1452,257595
788,261609
442,261792
164,262063
235,262081
14,262645
229,263000
337,263049
339,264012
427,264513
844,265617
423,265660
1041,265686
37,268687
722,269536
448,269630
106,269899
85,270439
215,270808
365,272103
855,272258
31,276153
58,281536
239,285451
23,285684
193,286769
871,286975
73,287592
821,287817
450,290131
1121,290559
92,299505
176,300113
1466,309646
71,310716
1334,311313
234,311947
862,313914
360,314334
822,316637
83,317538
405,319522
1262,322091
399,322852
245,323839
841,324581
820,325770
1296,327407
400,328283
412,330036
858,331377
336,331933
225,332878
854,334378
420,334482
1,335321
136,336304
202,337172
265,339020
155,339062
1560,344103
139,344738
411,345449
65,345740
201,347586
27,349199
36,352951
1117,353965
206,357272
921,359120
107,360001
505,361067
10,362006
332,367107
541,368338
870,370694
1094,373446
410,373534
834,377438
26,377862
860,379394
1274,380436
919,384175
934,386008
835,386597
35,388579
923,388970
207,392338
407,392985
706,396972
204,398596
872,401951
148,404620
1111,404898
18,408102
888,408139
267,410001
138,413029
32,418384
145,425297
911,427437
1051,431316
900,435304
846,443906
56,446317
344,446775
64,447238
850,452419
736,452518
853,453025
231,458216
53,458318
33,462039
95,463125
886,473998
935,476993
20,477172
429,477715
22,479485
21,480311
44,480671
272,483699
483,512689
889,512715
414,514075
840,514084
209,514351
1080,515140
955,515590
256,518680
25,519374
864,528171
617,540390
108,552634
168,556631
208,564679
45,567748
17,575183
124,591959
205,601701
166,608566
123,610507
182,635416
91,646002
198,655689
843,671607
869,673189
38,686013
24,743468
153,752188
848,759257
814,829210
894,847502
147,863736
902,908207
877,932296
67,990503
203,999480
43,1014846
61,1038939
195,1059187
1001,1259114
199,1334090
1167,1650385
366,1718373
1088,1739915
39,1995436
1610,3752481
34,4598761
938,5311010
1385,6135981
1234,6382072
1401,17723427
819,43099618
395,63546420
154,87086916
